Product URL,Product Name,Product Price,Rating,Number of Reviews,Description,ASIN,Product Description,Manufacturer
https://www.amazon.in/Sokker-Nylon-Cover-Laptop-Casual/dp/B0C6KJ53NB/ref=sr_1_267_sspa?crid=2M096C61O4MLT&keywords=bags&qid=1690057293&sprefix=ba%2Caps%2C283&sr=8-267-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1,Sokker Nylon 35 LTR Rain and Dust Cover with Pouch for Laptop Bag/Casual Bag (Black),299,1.0,1,Sokker Nylon 35 LTR Rain and Dust Cover with Pouch for Laptop Bag/Casual Bag (Black) : Amazon.in: Computers & Accessories,B0C6KJ53NB,,Visit the SOKKER Store
https://www.amazon.in/Priority-Disney-Princess-School-Backpack/dp/B0849MQV1S/ref=sr_1_266?crid=2M096C61O4MLT&keywords=bags&qid=1690057293&sprefix=ba%2Caps%2C283&sr=8-266,Priority Disney Princess Cinderella 25 Litres Blue Polyester School Bag | College Bag | Casual Backpack,349,3.7,9323,Priority Disney Princess Cinderella 25 Litres Blue Polyester School Bag | College Bag | Casual Backpack : Amazon.in: Toys & Games,B0849MQV1S,Priority backpacks have been crafted and designed to fit your essentials with a fashionable look that never goes out of style. The high quality polyester fabric strengthens your #MadeinIndia backpack to carry all your belongings while keeping up with the trend. Laptop Sleeve : No,Brand: Priority
https://www.amazon.in/Skybags-Unisex-Black-Jacqard-Laptop/dp/B09ZV81F6M/ref=sr_1_265?crid=2M096C61O4MLT&keywords=bags&qid=1690057293&sprefix=ba%2Caps%2C283&sr=8-265,Skybags Unisex Black Jacqard 34L Laptop Bags,1144,4.1,42,Buy Skybags Unisex Black Jacqard 34L Laptop Bags from Laptop Backpacks at Amazon.in. 30 days free exchange or return,B09ZV81F6M,"Ideal for a working professional travelling to work by bus, train, ola/uber/cab etc. Laptop compatibility & professional looking backpack",Visit the Skybags Store
https://www.amazon.in/uppercase-Backpack-1800EBP1-resistant-sustainable/dp/B0B9T4YDPX/ref=sr_1_264?crid=2M096C61O4MLT&keywords=bags&qid=1690057293&sprefix=ba%2Caps%2C283&sr=8-264,"uppercase Laptop Backpack Printed Compact 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys & Girls(Pink)",1200,4.3,33,"Buy uppercase 19 Ltrs Medium (14 inch) Laptop Backpack 1800EBP1 Printed Compact 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys & Girls, 750 Days warranty (Pink) from Laptop Backpacks at Amazon.in. 30 days free exchange or return",B0B9T4YDPX,,Visit the uppercase Store
https://www.amazon.in/Expandable-Backpack-Water-resistant-Business-Charging/dp/B0B6FNB898/ref=sr_1_263?crid=2M096C61O4MLT&keywords=bags&qid=1690057293&sprefix=ba%2Caps%2C283&sr=8-263,Arctic Hunter Laptop Bag Expandable Backpack for 16 inch Lapotp 40L Travel Backpack Water-resistant Business School Backpack with USB Port for Men and Women,3699,4.4,105,"Buy Arctic Hunter Backpack for Men Expanded Laptop Bag with 16-inch Pocket 40L Office Travel Backpack Water-resistant Business College Laptop Backpack with USB Port for Men and Women, Black from Laptop Backpacks at Amazon.in. 30 days free exchange or return",B0B6FNB898,"laptop backpack is made of 100% polyster, it is durable and water-resistant, the main pocket is expandable and the storage volume is about 40L,which can meet your needs for office travel.",Visit the ah arctic hunter Store
https://www.amazon.in/Northzone-Laptop-Backpack-Business-Notebook/dp/B0BY2M6SJB/ref=sr_1_256?crid=2M096C61O4MLT&keywords=bags&qid=1690057290&sprefix=ba%2Caps%2C283&sr=8-256,Northzone Laptop Backpack Laptop Bags Casual 30L Office School Travel Business Bag Backpack for Men Women Boys Girls Fits 15.6 Inch Laptop and Notebook,497,5.0,1,Buy Northzone Laptop Backpack Laptop Bags Casual 30L Office School Travel Business Bag Backpack for Men Women Boys Girls Fits 15.6 Inch Laptop and Notebook from Laptop Backpacks at Amazon.in. 30 days free exchange or return,B0BY2M6SJB,"Northzone 30L Backpack is the ideal school/college/travel bag for your daily needs. It has 3 large compartments, 1 front zippered pocket, 1 side water bottle holder. An anti-theft internal organiser helps to secure your cables, keys and other valuable items. Padded shoulder straps and back panel ease the weight of heavier loads. Top-mounted, padded handle and reinforced haul loop for quick grab Use : College Bag, School Bag, Casual Bag, Stylish Bag, Daily use.",Brand: NORTH ZONE
https://www.amazon.in/Cosmus-Casual-Backpack-Charger-College/dp/B09HX54TGF/ref=sr_1_255?crid=2M096C61O4MLT&keywords=bags&qid=1690057290&sprefix=ba%2Caps%2C283&sr=8-255,COSMUS Vogue Casual Laptop Backpack with USB Charger Port 46cm 26 Litre Maroon College Bag,1409,4.2,1413,Buy COSMUS Vogue Casual Laptop Backpack with USB Charger Port 46cm 26 Litre Maroon College Bag from Laptop Backpacks at Amazon.in. 30 days free exchange or return,B09HX54TGF,,Visit the COSMUS Store
https://www.amazon.in/TRUE-HUMAN-Anti-Theft-charging-combination/dp/B09H7PK5ML/ref=sr_1_254?crid=2M096C61O4MLT&keywords=bags&qid=1690057290&sprefix=ba%2Caps%2C283&sr=8-254,TRUE HUMAN Anti-Theft and USB charging port backpack with security lock Laptop bag|office bag| for men and women (Grey),649,3.8,1854,Buy TRUE HUMAN Anti-Theft and USB charging port backpack with security lock Laptop bag|office bag| for men and women (Grey) from Laptop Backpacks at Amazon.in. 30 days free exchange or return,B09H7PK5ML,,Visit the TRUE HUMAN Store
https://www.amazon.in/SBCOLLECTION-Casual-Messenger-zipper-pockets/dp/B0BXY7DPN5/ref=sr_1_253?crid=2M096C61O4MLT&keywords=bags&qid=1690057290&sprefix=ba%2Caps%2C283&sr=8-253,SBCOLLECTION Premium School College Office Laptop Daily Use Backpack for All Day Traveler,179,3.4,11,Buy SBCOLLECTION Casual Messenger Bag 3 zipper pockets (SMZ-01 Blue) from Laptop Backpacks at Amazon.in. 30 days free exchange or return,B0BXY7DPN5,"SBCollection Premium backpack Suitable for: School bags, casual backpacks, laptop backpacks, daypacks, travel backpack, casual bags, backpacks, college bag Pocket Description: Utility Pocket; Pattern Name: Solid; Water Resistance Level: Water Resistant; Closure Type: Zipper; Compartment Description: Not Laptop Compatible; Special Features: Back Padding Compartments:. 3 spacious compartments for books / clothes, internal mesh pocket organizer, 2 bottle pocket; Comfort padded shoulder straps & specially designed for less load on human body Outer & inner material: polyester, color: black, product color may slightly vary due to photographic lighting sources or your monitor settings",Brand: S. B. COLLECTION
https://www.amazon.in/Lavie-Broxa-Womens-Sling-Plum/dp/B08JDG1NKX/ref=sr_1_252?crid=2M096C61O4MLT&keywords=bags&qid=1690057290&sprefix=ba%2Caps%2C283&sr=8-252,Lavie Women's Broxa Flap Over Sling Bag | Ladies Purse Handbag,1139,4.1,5916,Buy Lavie Women's Broxa Flap Over Sling Bag | Ladies Purse Handbag from Sling & Cross-Body Bags at Amazon.in. 30 days free exchange or return,B08JDG1NKX,,
